V4,code,commodity,parent,Family Or Group,General Groups
H2,30110,"030110
Name: Live ornamental fish
Description: Live ornamental fish",301,ORNAMENTAL FISH,ORNAMENTAL FISH
H3,30110,"030110 
Name: Live ornamental fish
Description: Live ornamental fish",301,ORNAMENTAL FISH,ORNAMENTAL FISH
H4,30111,"030111 
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Live fish. // - Ornamental fish : // -- Freshwater
Description: -- Freshwater",3011,ORNAMENTAL FISH - FRESHWATER,ORNAMENTAL FISH
H4,30119,"030119
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Live fish. // - Ornamental fish : // -- Other
Description: -- Other",3011,ORNAMENTAL FISH - OTHER,ORNAMENTAL FISH
H2,30191,"030191 - -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",3019,TROUT,TROUT
H3,30191,"030191 - --  Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",3019,TROUT,TROUT
H4,30191,"030191 - -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",3019,TROUT,TROUT
H2,30192,030192 - -- Eels (Anguilla spp.),3019,EELS,EELS
H3,30192,030192 - --  Eels (Anguilla spp.),3019,EELS,EELS
H4,30192,030192 - -- Eels (Anguilla spp.),3019,EELS,EELS
H2,30193,030193 - -- Carp,3019,CARP,CARP
H3,30193,030193 - --  Carp,3019,CARP,CARP
H4,30193,"030193 - -- Carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus)",3019,CARP,CARP
H3,30194,030194 - --  Bluefin tunas (Thunnus thynnus),3019,BLUEFIN TUNAS,TUNA
H4,30194,"030194 - -- Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)",3019,ATLANTIC AND PACIFIC BLUEFIN TUNAS,TUNA
H3,30195,030195 - --  Southern bluefin tunas (Thunnus maccoyii),3019,SOUTHERN BLUEFIN TUNAS,TUNA
H4,30195,030195 - -- Southern bluefin tunas (Thunnus maccoyii),3019,SOUTHERN BLUEFIN TUNAS,TUNA
H2,30199,"030199 
 Name: Live fish, n.e.s.
Description: Live fish, n.e.s.",3019,FISH (N.E.S),UNKNOWN
H3,30199,"030199 
 Name: Live fish(excl. of 0301.10-0301.95),n.e.s.
Description: -- Other",3019,FISH (N.E.S),UNKNOWN
H4,30199,"Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Live fish. // - Other live fish : // -- Other
Description: -- Other",3019,FISH (N.E.S),UNKNOWN
H2,30211,"030211 - -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",3021,TROUT,TROUT
H3,30211,"030211 - --  Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",3021,TROUT,TROUT
H4,30211,"030211 - -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",3021,TROUT,TROUT
H2,30212,"030212 - -- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho Hucho)",3021,PACIFIC SALMON,SALMON
H3,30212,"030212 - --  Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",3021,PACIFIC SALMON,SALMON
H4,30213,"030213 - -- Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",3021,PACIFIC SALMON,SALMON
H4,30214,030214 - -- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),3021,ATLANTIC SALMON,SALMON
H2,30219,"030219 
Name: Salmonidae (excl. of 0302.11 & 0302.12; excl. fillets/oth. fish meat of 03. ...
Description: Salmonidae (excl. of 0302.11 & 0302.12; excl. fillets/oth. fish meat of 03.04/livers & roes), fresh/chilled",3021,OTHER SALMONIDAE,UNKNOWN
H3,30219,"030219
Name: Salmonidae (excl. of 0302.11 & 0302.12; excl. fillets/other fish meat of 03.04/livers & roes), fresh/chilled
Description: -- Other",3021,OTHER SALMONIDAE,UNKNOWN
H4,30219,"030219 
Name: Fish and crustaceans, molluscs and other aquatic invertebrates // Fish, fresh or chilled, excluding fish fillets and other fish meat of heading 03.04. // - Salmonidae, excluding livers and roes : // -- Other
Description: -- Other",3021,OTHER SALMONIDAE,UNKNOWN
H2,30221,"030221 - -- Halibut (Reinhardtius hippoglossoides, Hippoglossus Hippoglossus, Hippoglossus stenolepis)",3022,HALIBUT,HALIBUT
H3,30221,"030221 - --  Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",3022,HALIBUT,HALIBUT
H4,30221,"030221 - -- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",3022,HALIBUT,HALIBUT
H2,30222,030222 - -- Plaice (Pleuronectes platessa),3022,PLAICE,PLAICE
H3,30222,030222 - --  Plaice (Pleuronectes platessa),3022,PLAICE,PLAICE
H4,30222,030222 - -- Plaice (Pleuronectes platessa),3022,PLAICE,PLAICE
H2,30223,030223 - -- Sole (Solea spp.),3022,SOLE,SOLE
H3,30223,030223 - --  Sole (Solea spp.),3022,SOLE,SOLE
H4,30223,030223 - -- Sole (Solea spp.),3022,SOLE,SOLE
H4,30224,"030224 - -- Turbots (Psetta maxima, Scophthalmidae)",3022,TURBOTS,TURBOTS
